id,beer_name,brewery,style,venue,city,country,lat,lon,serving_type,checkin_date,year,month,year_month,weekday
104,Krombacher’s Fassbrause Mango,Krombacher Gruppe,Radler/Malt,,,,,,,2026-01-22,2026,01,2026-01,Thursday
105,Green Bullet,Two Chefs Brewing,Other,,,,,,,2026-01-22,2026,01,2026-01,Thursday
106,East Coast,Rügener Insel-Brauerei,Other,,,,,,,2026-01-22,2026,01,2026-01,Thursday
107,Blueprints: Microscope,Moersleutel Craft Brewery,Other,,,,,,,2026-01-22,2026,01,2026-01,Thursday
108,Caramel Fudge Stout,Brouwerij Kees,Stout/Porter,Untappd at Home,Aachen,DE,50.7753,6.0839,,2026-01-22,2026,01,2026-01,Thursday
109,Punk IPA Alcohol Free,BrewDog,Non-Alcoholic,Untappd at Home,Aachen,DE,50.7753,6.0839,,2026-01-22,2026,01,2026-01,Thursday
110,Triple Juice Punch (10 Years Edition),Frontaal Brewing Co.,Tripel,Hopfen+Malz,Aachen,DE,50.7766,6.0834,,2026-01-21,2026,01,2026-01,Wednesday
111,Apricot Berliner Weisse,Ārpus Brewing Co.,Wheat Beer,Hopfen+Malz,Aachen,DE,50.7766,6.0834,,2026-01-21,2026,01,2026-01,Wednesday
112,Tannen Hell,Hohenthanner Schlossbrauerei,Lager/Pils,Hopfen+Malz,Aachen,DE,50.7766,6.0834,,2026-01-21,2026,01,2026-01,Wednesday
113,12 ANNIVERSARY // DDH DIPA,Northern Monk,DIPA,Hopfen+Malz,Aachen,DE,50.7766,6.0834,,2026-01-21,2026,01,2026-01,Wednesday
114,Agasse,La Cahute,Other,Hopfen+Malz,Aachen,DE,50.7766,6.0834,,2026-01-21,2026,01,2026-01,Wednesday
115,Hop Opera,Mikkeller,Other,Hopfen+Malz,Aachen,DE,50.7766,6.0834,,2026-01-21,2026,01,2026-01,Wednesday
116,Weiherer Keller-Pils,Brauerei Kundmüller,Lager/Pils,,,,,,,2026-01-21,2026,01,2026-01,Wednesday
117,Celebration,Sierra Nevada Brewing Co.,Other,Hopfen+Malz,Aachen,DE,50.7766,6.0834,,2026-01-21,2026,01,2026-01,Wednesday
118,Big Load,Yankee & Kraut,Other,Hopfen+Malz,Aachen,DE,50.7766,6.0834,,2026-01-21,2026,01,2026-01,Wednesday
119,Outer Limit,Vocation Brewery,Other,Hopfen+Malz,Aachen,DE,50.7766,6.0834,,2026-01-21,2026,01,2026-01,Wednesday
120,Dolly Don‘t Dance,Sudden Death Brewing Co.,Other,Hopfen+Malz,Aachen,DE,50.7766,6.0834,,2026-01-21,2026,01,2026-01,Wednesday
121,Bitburger Radler,Bitburger Brauerei,Radler/Malt,AKL,Aachen,DE,50.7753,6.0839,,2026-01-21,2026,01,2026-01,Wednesday
122,"Schloss Hell 0,0%",Netto Marken-Discount,Non-Alcoholic,Untappd at Home,Aachen,DE,50.7753,6.0839,,2026-01-20,2026,01,2026-01,Tuesday
123,Bertinchamps Triple,Bertinchamps,Tripel,Untappd at Home,Aachen,DE,50.7753,6.0839,,2026-01-19,2026,01,2026-01,Monday
124,Guinness Draught 0.0,Guinness,Non-Alcoholic,Untappd at Home,Aachen,DE,50.7753,6.0839,,2026-01-19,2026,01,2026-01,Monday
125,Bavaria 0.0% IPA,Royal Swinkels,Non-Alcoholic,Untappd at Home,Aachen,DE,50.7753,6.0839,,2026-01-18,2026,01,2026-01,Sunday
126,Fronk Bier IPA Simcoe,Biermanufaktur Langguth,IPA,,,,,,,2026-01-17,2026,01,2026-01,Saturday
127,IPA,Brand Bierbrouwerij,IPA,,,,,,,2026-01-17,2026,01,2026-01,Saturday
128,Original Fassbrause Holunderblüte,Uerige Obergärige Hausbrauerei,Radler/Malt,,,,,,,2026-01-17,2026,01,2026-01,Saturday
129,Zirndorfer Landbier,Brauerei Zirndorf,Other,,,,,,,2026-01-17,2026,01,2026-01,Saturday
130,Maisel & Friends Pale Ale,Brauerei Gebr. Maisel,Pale Ale,Untappd at Home,Aachen,DE,50.7753,6.0839,,2026-01-17,2026,01,2026-01,Saturday
131,Krombacher Fassbrause Rhabarber,Krombacher Gruppe,Radler/Malt,Untappd at Home,Aachen,DE,50.7753,6.0839,,2026-01-17,2026,01,2026-01,Saturday
132,Kosmos,Põhjala,Other,Hopfen+Malz,Aachen,DE,50.7766,6.0834,,2026-01-17,2026,01,2026-01,Saturday
133,Gaffel Kölsch,Privatbrauerei Gaffel Becker,Kölsch,Haus Kattwinkel,Aachen,DE,50.7748,6.0812,,2026-01-16,2026,01,2026-01,Friday
134,Paulaner Hefe-Weißbier Dunkel / Weissbier Dunkel,Paulaner Brauerei,Wheat Beer,Haus Kattwinkel,Aachen,DE,50.7748,6.0812,,2026-01-16,2026,01,2026-01,Friday
135,SUPER 8 IPA,Brouwerij Haacht Brasserie,IPA,,,,,,,2026-01-16,2026,01,2026-01,Friday
136,Tsar Pjotr-tje,Brouwerij Hoop,Other,,,,,,,2026-01-16,2026,01,2026-01,Friday
137,Blueprints: Stapler,Moersleutel Craft Brewery,Other,Untappd at Home,Aachen,DE,50.7753,6.0839,,2026-01-16,2026,01,2026-01,Friday
138,Sion Kölsch,Radeberger Gruppe,Kölsch,,,,,,,2026-01-15,2026,01,2026-01,Thursday
